# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260501-20260531
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Referral,Referral,Organic Social,Organic Social,Email,Email,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,70698,645439,70975,122834,11369,25894,11572,13879,3853,4466,166270,813962,Grand total
Press Room | HHS.gov,/press-room/index.html,20971,539109,3844,25348,896,8930,106,882,19,52,25650,574440
HHS to Close Biden-Era Loophole That Let States Pay Child Care Providers Without Counting Attendance | HHS.gov,/press-room/hhs-close-biden-era-loophole-states-pay-child-care-providers-without-counting-attendance.html,227,287,140,167,14,21,0,0,0,0,380,475
Fact Sheet: Hepatitis B Immunization | HHS.gov,/press-room/fact-sheet-hepatitis-b-immunization.html,31,35,329,374,8,8,0,0,0,0,367,417
"HHS Secretary Kennedy, CMS Administrator Oz Secure Industry Pledge to Fix Broken Prior Authorization System | HHS.gov",/press-room/kennedy-oz-cms-secure-healthcare-industry-pledge-to-fix-prior-authorization-system.html,181,196,121,169,63,73,0,0,0,0,364,438
Trump Administration Puts 46 States and Territories on Notice to Remove Gender Ideology Content from Sex Ed Materials | HHS.gov,/press-room/hhs-acf-states-remove-gender-ideology-sex-ed.html,114,131,231,313,12,14,0,0,0,0,355,458
Autism Announcement Fact Sheet | HHS.gov,/press-room/autism-announcement-fact-sheet.html,91,98,237,282,20,26,7,8,0,0,355,414
ACIP Recommends COVID-19 Immunization Based on Individual Decision-making | HHS.gov,/press-room/acip-recommends-covid19-vaccination-individual-decision-making.html,135,157,184,205,28,30,0,0,0,0,344,392
SAMHSA Announces $231M Funding Opportunity to Administer 988 Lifeline | HHS.gov,/press-room/samhsa-announces-231m-funding-opportunity-administer-988-lifeline.html,207,277,123,142,11,17,0,0,0,0,341,436
"Secretary Kennedy Celebrates Hospital Nutrition Commitments, Florida Farm Partnership During ‘Take Back Your Health’ Tour in Miami | HHS.gov",/press-room/secretary-kennedy-celebrates-hospital-nutrition-commitments-florida-farm-partnership-during-take-back-your-health-tour-in-miami.html,240,417,80,102,15,23,0,0,0,0,332,542
Fact Sheet: HHS’ Transformation to Make America Healthy Again | HHS.gov,/press-room/hhs-restructuring-doge-fact-sheet.html,100,123,163,201,55,63,0,0,10,10,317,397
HHS & State Department: The United States Rejects Amendments to International Health Regulations | HHS.gov,/press-room/state-department-hhs-rejects-amendments-to-international-health-regulations.html,233,260,70,86,20,25,0,0,0,0,318,371
HHS’ Cleanup of Federal Nursing Home Minimum Staffing Standards Rule Expands Access to Rural and Tribal Health Care | HHS.gov,/press-room/hhs-cleanup-federal-nursing-home-minimum-staffing-standards-rule-expands-access-rural-tribal-health-care.html,118,140,174,274,23,35,7,8,0,0,320,457
"Robert F. Kennedy, Jr. Sworn in as 26th Secretary at HHS, President Trump Signs Executive Order to Make America Healthy Again | HHS.gov",/press-room/eo-maha.html,70,79,222,261,21,24,0,0,0,0,311,364
WTAS: New Cervical Cancer Screening Guidelines | HHS.gov,/press-room/wtas-new-cervical-cancer-screening-guidelines.html,62,67,238,296,13,15,0,0,0,0,313,378
"WTAS: HHS, EPA Announce Historic Actions to Protect Americans from Microplastics and Safeguard Drinking Water | HHS.gov",/press-room/wtas-hhs-epa-announce-historic-actions-protect-americans-microplastics-safeguard-drinking-water.html,227,402,54,78,13,16,0,0,0,0,293,496
Joint Statement by Secretary of State Rubio and Secretary of Health and Human Services Kennedy on the Termination of U.S. Membership in the World Health Organization (WHO) | HHS.gov,/press-room/joint-statement-by-secretary-of-state-rubio-and-secretary-of-health-and-human-services-kennedy-on-the-termination-of-us-membership-in-the-world-health-organization-who.html,213,288,54,77,18,39,7,7,0,0,289,411
WTAS: FDA Approves Drug to Treat Neurologic Manifestations of Hunter Syndrome | HHS.gov,/press-room/wtas-fda-approves-drug-treat-neurologic-manifestations-hunter-syndrome.html,217,381,65,70,9,11,0,0,0,0,291,462
HHS Bars Research Using Human Fetal Tissue from Elective Abortions | HHS.gov,/press-room/hhs-bars-research-using-human-fetal-tissue-from-elective-abortions.html,204,289,69,84,3,8,9,17,0,0,288,405
Secretary Kennedy Appoints New Chair and Ten New Members to Federal Alzheimer’s Advisory Council | HHS.gov,/press-room/hhs-kennedy-appoints-new-chair-ten-members-federal-alzheimers-advisory-council.html,198,300,69,80,10,10,7,7,0,0,283,397
WTAS: HHS Bars Research Using Human Fetal Tissue from Elective Abortions and Other Departmental Actions | HHS.gov,/press-room/wtas-hhs-bars-research-using-human-fetal-tissue-from-elective-abortions.html,180,264,104,118,0,0,0,0,0,0,284,382
ACL Launches Phase 1 of Caregiver AI Prize Competition | HHS.gov,/press-room/acl-launches-phase-1-caregiver-ai-prize-competition.html,190,308,49,65,34,47,0,0,10,10,281,430
"HHS, FDA to Phase Out Petroleum-Based Synthetic Dyes in Nation’s Food Supply | HHS.gov",/press-room/hhs-fda-food-dyes-food.html,143,163,109,141,29,46,0,0,0,0,279,350
HHS Adopts ACIP Recommendation to Remove Thimerosal from All U.S. Influenza Vaccines | HHS.gov,/press-room/thimerosal-mercury-removed-from-us-flu-vaccines-acip.html,127,142,131,180,0,0,20,20,0,0,278,342
HHS Protects Parents’ Rights in Children’s Health Decisions | HHS.gov,/press-room/hhs-protects-parents-rights-in-childrens-health-decisions.html,111,123,150,189,10,12,0,0,0,0,269,324
Secretary Kennedy Appoints Two Physicians to CDC’s Advisory Committee on Immunization Practices | HHS.gov,/press-room/secretary-kennedy-appoints-two-physicians-cdc-advisory-committee.html,197,346,56,64,0,0,17,19,0,0,270,429
"HHS’ Office for Civil Rights Settles HIPAA Investigation of MMG Fusion, LLC Breach Affecting 15 Million Individuals | HHS.gov",/press-room/ocr-mmg-fusion-hipaa-agreement.html,111,125,120,166,37,62,0,0,0,0,263,353
HHS Expands Access to Affordable Health Insurance | HHS.gov,/press-room/hhs-expands-access-affordable-catastrophic-health-coverage.html,144,158,88,101,31,34,0,0,0,0,262,293
HHS Doubles AI-Backed Childhood Cancer Research Funding | HHS.gov,/press-room/hhs-doubles-ai-backed-childhood-cancer-research-funding.html,100,110,134,170,6,8,18,18,0,0,256,306
WTAS: FDA Launches Framework for Accelerating Development of Individualized Therapies for Ultra-Rare Diseases | HHS.gov,/press-room/wtas-fda-launches-framework-accelerating-therapies-ultra-rare-diseases.html,212,354,23,32,6,8,0,0,0,0,257,412
HHS to Close University of Miami's Failing Organ Agency | HHS.gov,/press-room/hhs-decertifies-miami-organ-agency-reforms-transplant-system.html,112,130,109,143,18,19,14,14,0,0,250,306
Office for Civil Rights Announces Civil Enforcement Program for Confidentiality of Substance Use Disorder Patient Records | HHS.gov,/press-room/hhs-announce-civil-enforcement-program-sud-patient-records.html,110,116,109,142,33,41,0,0,0,0,247,299
